suite,attack,defense,planned_n,valid_n,invalid_n,utility_under_attack,targeted_asr_metric,targeted_asr_planned_n,targeted_asr_valid_n,targeted_asr_invalid_n,targeted_asr_successes,targeted_asr_valid_successes,targeted_asr_itt_rate,targeted_asr_valid_only_rate,targeted_asr_wilson,targeted_asr_valid_only_wilson,utility_under_attack_metric,utility_under_attack_planned_n,utility_under_attack_valid_n,utility_under_attack_invalid_n,utility_under_attack_successes,utility_under_attack_valid_successes,utility_under_attack_itt_rate,utility_under_attack_valid_only_rate,utility_under_attack_wilson,utility_under_attack_valid_only_wilson
workspace,important_instructions,none,558,557,1,"{""invalid_n"":1,""itt_rate"":0.7508960573476703,""metric"":""utility"",""planned_n"":558,""successes"":419,""valid_n"":557,""valid_only_rate"":0.7522441651705566,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.7147458009727484,""upper"":0.7862870588141707},""valid_successes"":419,""wilson"":{""confidence"":0.95,""lower"":0.7133775265677503,""upper"":0.7849837025727983}}",targeted_attack_success,558,557,1,16,16,0.02867383512544803,0.02872531418312388,"{""confidence"":0.95,""lower"":0.017725527251194636,""upper"":0.04606730657763207}","{""confidence"":0.95,""lower"":0.017757486788252615,""upper"":0.04614909190166723}",utility,558,557,1,419,419,0.7508960573476703,0.7522441651705566,"{""confidence"":0.95,""lower"":0.7133775265677503,""upper"":0.7849837025727983}","{""confidence"":0.95,""lower"":0.7147458009727484,""upper"":0.7862870588141707}"
workspace,important_instructions,repeat_user_prompt,558,557,1,"{""invalid_n"":1,""itt_rate"":0.7258064516129032,""metric"":""utility"",""planned_n"":558,""successes"":405,""valid_n"":557,""valid_only_rate"":0.7271095152603232,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.6886554625737084,""upper"":0.7624524147433399},""valid_successes"":405,""wilson"":{""confidence"":0.95,""lower"":0.6873426726046713,""upper"":0.7611824336218224}}",targeted_attack_success,558,557,1,5,5,0.008960573476702509,0.008976660682226212,"{""confidence"":0.95,""lower"":0.003833321796473072,""upper"":0.020802558314167677}","{""confidence"":0.95,""lower"":0.003840214530997109,""upper"":0.020839592218309846}",utility,558,557,1,405,405,0.7258064516129032,0.7271095152603232,"{""confidence"":0.95,""lower"":0.6873426726046713,""upper"":0.7611824336218224}","{""confidence"":0.95,""lower"":0.6886554625737084,""upper"":0.7624524147433399}"
workspace,tool_knowledge,none,558,554,4,"{""invalid_n"":4,""itt_rate"":0.7078853046594982,""metric"":""utility"",""planned_n"":558,""successes"":395,""valid_n"":554,""valid_only_rate"":0.7129963898916968,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.6739622199621987,""upper"":0.7490970494203896},""valid_successes"":395,""wilson"":{""confidence"":0.95,""lower"":0.6688360864732982,""upper"":0.744091789100299}}",targeted_attack_success,558,554,4,26,26,0.04659498207885305,0.04693140794223827,"{""confidence"":0.95,""lower"":0.031993388029285794,""upper"":0.06739667645243724}","{""confidence"":0.95,""lower"":0.032225824993383306,""upper"":0.06787691555721305}",utility,558,554,4,395,395,0.7078853046594982,0.7129963898916968,"{""confidence"":0.95,""lower"":0.6688360864732982,""upper"":0.744091789100299}","{""confidence"":0.95,""lower"":0.6739622199621987,""upper"":0.7490970494203896}"
workspace,tool_knowledge,repeat_user_prompt,558,557,1,"{""invalid_n"":1,""itt_rate"":0.7365591397849462,""metric"":""utility"",""planned_n"":558,""successes"":411,""valid_n"":557,""valid_only_rate"":0.7378815080789947,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.6998183128957394,""upper"":0.7726859854798251},""valid_successes"":411,""wilson"":{""confidence"":0.95,""lower"":0.6984819177487006,""upper"":0.7714015268695308}}",targeted_attack_success,558,557,1,3,3,0.005376344086021506,0.005385996409335727,"{""confidence"":0.95,""lower"":0.0018300916469421238,""upper"":0.01568634233311936}","{""confidence"":0.95,""lower"":0.001833380241691272,""upper"":0.015714286154776977}",utility,558,557,1,411,411,0.7365591397849462,0.7378815080789947,"{""confidence"":0.95,""lower"":0.6984819177487006,""upper"":0.7714015268695308}","{""confidence"":0.95,""lower"":0.6998183128957394,""upper"":0.7726859854798251}"
travel,important_instructions,none,138,138,0,"{""invalid_n"":0,""itt_rate"":0.4492753623188406,""metric"":""utility"",""planned_n"":138,""successes"":62,""valid_n"":138,""valid_only_rate"":0.4492753623188406,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.36877791778596075,""upper"":0.5325203336815612},""valid_successes"":62,""wilson"":{""confidence"":0.95,""lower"":0.36877791778596075,""upper"":0.5325203336815612}}",targeted_attack_success,138,138,0,23,23,0.16666666666666666,0.16666666666666666,"{""confidence"":0.95,""lower"":0.1137023810595438,""upper"":0.23768612858417146}","{""confidence"":0.95,""lower"":0.1137023810595438,""upper"":0.23768612858417146}",utility,138,138,0,62,62,0.4492753623188406,0.4492753623188406,"{""confidence"":0.95,""lower"":0.36877791778596075,""upper"":0.5325203336815612}","{""confidence"":0.95,""lower"":0.36877791778596075,""upper"":0.5325203336815612}"
travel,important_instructions,repeat_user_prompt,138,138,0,"{""invalid_n"":0,""itt_rate"":0.3695652173913043,""metric"":""utility"",""planned_n"":138,""successes"":51,""valid_n"":138,""valid_only_rate"":0.3695652173913043,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.29358420242902833,""upper"":0.4526113013445993},""valid_successes"":51,""wilson"":{""confidence"":0.95,""lower"":0.29358420242902833,""upper"":0.4526113013445993}}",targeted_attack_success,138,138,0,33,33,0.2391304347826087,0.2391304347826087,"{""confidence"":0.95,""lower"":0.17564378628692803,""upper"":0.3167472212603274}","{""confidence"":0.95,""lower"":0.17564378628692803,""upper"":0.3167472212603274}",utility,138,138,0,51,51,0.3695652173913043,0.3695652173913043,"{""confidence"":0.95,""lower"":0.29358420242902833,""upper"":0.4526113013445993}","{""confidence"":0.95,""lower"":0.29358420242902833,""upper"":0.4526113013445993}"
travel,tool_knowledge,none,138,138,0,"{""invalid_n"":0,""itt_rate"":0.35507246376811596,""metric"":""utility"",""planned_n"":138,""successes"":49,""valid_n"":138,""valid_only_rate"":0.35507246376811596,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.28014795607538495,""upper"":0.4378470481175348},""valid_successes"":49,""wilson"":{""confidence"":0.95,""lower"":0.28014795607538495,""upper"":0.4378470481175348}}",targeted_attack_success,138,138,0,45,45,0.32608695652173914,0.32608695652173914,"{""confidence"":0.95,""lower"":0.2535070470498725,""upper"":0.4080869579816312}","{""confidence"":0.95,""lower"":0.2535070470498725,""upper"":0.4080869579816312}",utility,138,138,0,49,49,0.35507246376811596,0.35507246376811596,"{""confidence"":0.95,""lower"":0.28014795607538495,""upper"":0.4378470481175348}","{""confidence"":0.95,""lower"":0.28014795607538495,""upper"":0.4378470481175348}"
travel,tool_knowledge,repeat_user_prompt,138,138,0,"{""invalid_n"":0,""itt_rate"":0.41304347826086957,""metric"":""utility"",""planned_n"":138,""successes"":57,""valid_n"":138,""valid_only_rate"":0.41304347826086957,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.33433400445888056,""upper"":0.4964629980568713},""valid_successes"":57,""wilson"":{""confidence"":0.95,""lower"":0.33433400445888056,""upper"":0.4964629980568713}}",targeted_attack_success,138,138,0,45,45,0.32608695652173914,0.32608695652173914,"{""confidence"":0.95,""lower"":0.2535070470498725,""upper"":0.4080869579816312}","{""confidence"":0.95,""lower"":0.2535070470498725,""upper"":0.4080869579816312}",utility,138,138,0,57,57,0.41304347826086957,0.41304347826086957,"{""confidence"":0.95,""lower"":0.33433400445888056,""upper"":0.4964629980568713}","{""confidence"":0.95,""lower"":0.33433400445888056,""upper"":0.4964629980568713}"
banking,important_instructions,none,142,142,0,"{""invalid_n"":0,""itt_rate"":0.6549295774647887,""metric"":""utility"",""planned_n"":142,""successes"":93,""valid_n"":142,""valid_only_rate"":0.6549295774647887,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.5735868353855637,""upper"":0.7281106404611098},""valid_successes"":93,""wilson"":{""confidence"":0.95,""lower"":0.5735868353855637,""upper"":0.7281106404611098}}",targeted_attack_success,142,142,0,27,27,0.19014084507042253,0.19014084507042253,"{""confidence"":0.95,""lower"":0.13409479019339512,""upper"":0.2625102581132578}","{""confidence"":0.95,""lower"":0.13409479019339512,""upper"":0.2625102581132578}",utility,142,142,0,93,93,0.6549295774647887,0.6549295774647887,"{""confidence"":0.95,""lower"":0.5735868353855637,""upper"":0.7281106404611098}","{""confidence"":0.95,""lower"":0.5735868353855637,""upper"":0.7281106404611098}"
banking,important_instructions,repeat_user_prompt,142,142,0,"{""invalid_n"":0,""itt_rate"":0.6619718309859155,""metric"":""utility"",""planned_n"":142,""successes"":94,""valid_n"":142,""valid_only_rate"":0.6619718309859155,""valid_only_wilson"":{""confidence"":0.95,""lower"":0.5808148814735217,""upper"":0.734596116002546},""valid_successes"":94,""wilson"":{""confidence"":0.95,""lower"":0.5808148814735217,""upper"":0.734596116002546}}",targeted_attack_success,142,142,0,24,24,0.16901408450704225,0.16901408450704225,"{""confidence"":0.95,""lower"":0.11628787581394034,""upper"":0.2391766076045298}","{""confidence"":0.95,""lower"":0.11628787581394034,""upper"":0.2391766076045298}",utility,142,142,0,94,94,0.6619718309859155,0.6619718309859155,"{""confidence"":0.95,""lower"":0.5808148814735217,""upper"":0.734596116002546}","{""confidence"":0.95,""lower"":0.5808148814735217,""upper"":0.734596116002546}"
